ID,大限,受訪時大限,Rule1,Rule2,Rule3,Rule4,Rule5,Rule6,Rule7,Rule8,Rule9,Rule10,Rule11,Rule12,Rule13,Rule14,Rule15,Rule16,Rule17,Rule18,Rule19,Rule20
102,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
102,2,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
102,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,4,4,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
102,5,4,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
102,6,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
102,7,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
102,8,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,9,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
102,10,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
103,1,3,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0
103,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,4,3,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1
103,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,6,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
103,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
103,8,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
103,9,3,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
103,10,3,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
104,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,3,3,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
104,4,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
104,5,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
104,6,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
104,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,8,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
104,9,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
104,10,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
106,1,4,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
106,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,3,4,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
106,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
106,5,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
106,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,7,4,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
106,8,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
106,9,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
106,10,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0
108,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
108,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
108,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
108,4,2,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0
108,5,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
108,6,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
108,7,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
108,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,9,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
108,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
109,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
109,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
109,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,6,3,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0
109,7,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,8,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
