ID,大限,受訪時大限,結婚狀態,Rule1,Rule2,Rule3,Rule4,Rule5,Rule6,Rule7,Rule8,Rule9,Rule10,Rule11,Rule12,Rule13,Rule14,Rule15,Rule16,Rule17,Rule18,Rule19,Rule20
5128,1,3,未婚,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
5128,2,3,未婚,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
5128,3,3,未婚,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
5128,4,3,未婚,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
5128,5,3,未婚,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5128,6,3,未婚,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5128,7,3,未婚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5128,8,3,未婚,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0
5128,9,3,未婚,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
5128,10,3,未婚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5205,1,2,未婚,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
5205,2,2,未婚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5205,3,2,未婚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5205,4,2,未婚,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
5205,5,2,未婚,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
5205,6,2,未婚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5205,7,2,未婚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5205,8,2,未婚,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5205,9,2,未婚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5205,10,2,未婚,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
5214,1,2,未婚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5214,2,2,未婚,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0
5214,3,2,未婚,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
5214,4,2,未婚,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5214,5,2,未婚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5214,6,2,未婚,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5214,7,2,未婚,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
5214,8,2,未婚,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
5214,9,2,未婚,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
5214,10,2,未婚,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
5215,1,3,已婚,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
5215,2,3,已婚,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
5215,3,3,已婚,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
5215,4,3,已婚,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5215,5,3,已婚,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
5215,6,3,已婚,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
5215,7,3,已婚,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
5215,8,3,已婚,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
5215,9,3,已婚,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
5215,10,3,已婚,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
5216,1,4,已婚,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5216,2,4,已婚,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5216,3,4,已婚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5216,4,4,已婚,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5216,5,4,已婚,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
5216,6,4,已婚,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
5216,7,4,已婚,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5216,8,4,已婚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
5216,9,4,已婚,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
5216,10,4,已婚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5217,1,4,已婚,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
5217,2,4,已婚,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
5217,3,4,已婚,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5217,4,4,已婚,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
5217,5,4,已婚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5217,6,4,已婚,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0
5217,7,4,已婚,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5217,8,4,已婚,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
5217,9,4,已婚,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5217,10,4,已婚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5222,1,6,已婚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5222,2,6,已婚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5222,3,6,已婚,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
5222,4,6,已婚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
5222,5,6,已婚,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5222,6,6,已婚,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
5222,7,6,已婚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5222,8,6,已婚,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
5222,9,6,已婚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5222,10,6,已婚,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
5223,1,4,已婚,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5223,2,4,已婚,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5223,3,4,已婚,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
5223,4,4,已婚,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
5223,5,4,已婚,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
5223,6,4,已婚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5223,7,4,已婚,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5223,8,4,已婚,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5223,9,4,已婚,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0
5223,10,4,已婚,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
5224,1,2,未婚,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
5224,2,2,未婚,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
5224,3,2,未婚,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5224,4,2,未婚,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5224,5,2,未婚,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
5224,6,2,未婚,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5224,7,2,未婚,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0
5224,8,2,未婚,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
5224,9,2,未婚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5224,10,2,未婚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5226,1,3,未婚,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
5226,2,3,未婚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5226,3,3,未婚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
5226,4,3,未婚,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
5226,5,3,未婚,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5226,6,3,未婚,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5226,7,3,未婚,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0
5226,8,3,未婚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5226,9,3,未婚,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5226,10,3,未婚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
5301,1,3,未婚,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5301,2,3,未婚,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5301,3,3,未婚,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
5301,4,3,未婚,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
5301,5,3,未婚,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
5301,6,3,未婚,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
5301,7,3,未婚,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
5301,8,3,未婚,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
5301,9,3,未婚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5301,10,3,未婚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5303,1,5,已婚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5303,2,5,已婚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5303,3,5,已婚,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5303,4,5,已婚,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
5303,5,5,已婚,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
5303,6,5,已婚,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
5303,7,5,已婚,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
5303,8,5,已婚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5303,9,5,已婚,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
5303,10,5,已婚,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
5304,1,5,已婚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5304,2,5,已婚,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0
5304,3,5,已婚,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
5304,4,5,已婚,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
5304,5,5,已婚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5304,6,5,已婚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5304,7,5,已婚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5304,8,5,已婚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
5304,9,5,已婚,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
5304,10,5,已婚,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
5305,1,6,已婚,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
5305,2,6,已婚,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5305,3,6,已婚,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
5305,4,6,已婚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5305,5,6,已婚,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
5305,6,6,已婚,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
5305,7,6,已婚,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0
5305,8,6,已婚,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5305,9,6,已婚,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
5305,10,6,已婚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5308,1,4,已婚,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
5308,2,4,已婚,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5308,3,4,已婚,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
5308,4,4,已婚,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1
5308,5,4,已婚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5308,6,4,已婚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5308,7,4,已婚,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
5308,8,4,已婚,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
5308,9,4,已婚,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5308,10,4,已婚,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
5310,1,2,未婚,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
5310,2,2,未婚,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
5310,3,2,未婚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
5310,4,2,未婚,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5310,5,2,未婚,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5310,6,2,未婚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5310,7,2,未婚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5310,8,2,未婚,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5310,9,2,未婚,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0
5310,10,2,未婚,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5312,1,2,未婚,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
5312,2,2,未婚,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
5312,3,2,未婚,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0
5312,4,2,未婚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
5312,5,2,未婚,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
5312,6,2,未婚,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5312,7,2,未婚,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
5312,8,2,未婚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5312,9,2,未婚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5312,10,2,未婚,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
5313,1,3,未婚,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
5313,2,3,未婚,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
5313,3,3,未婚,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
5313,4,3,未婚,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
5313,5,3,未婚,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
5313,6,3,未婚,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5313,7,3,未婚,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0
5313,8,3,未婚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5313,9,3,未婚,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5313,10,3,未婚,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
5316,1,5,已婚,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
5316,2,5,已婚,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5316,3,5,已婚,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
5316,4,5,已婚,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
5316,5,5,已婚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5316,6,5,已婚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5316,7,5,已婚,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
5316,8,5,已婚,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
5316,9,5,已婚,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5316,10,5,已婚,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
