大限/流年,天干,地支,大限宮位,本命宮位,主星1,主星1本命四化,主星1大限四化,主星1流年四化,主星2,主星2本命四化,主星2大限四化,主星2流年四化,本命祿存,大限祿存,流年祿存,本命擎羊,大限擎羊,流年擎羊,本命陀羅,大限陀羅,流年陀羅,火星,鈴星,地空,地劫,本命紅鸞,流年紅鸞,本命天喜,流年天喜,文昌,文昌本命四化,文昌大限四化,文昌流年四化,文曲,文曲本命四化,文曲大限四化,文曲流年四化,左輔,左輔本命四化,左輔大限四化,左輔流年四化,右弼,右弼本命四化,右弼大限四化,右弼流年四化,boshi
本命,壬,子, ,父母,破軍, , , , , , , , , , ,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,官符
本命,癸,丑, ,福德,天機, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,伏兵
本命,壬,寅, ,田宅,紫微,權, , ,天府, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1,科, , , , , , ,大耗
本命,癸,卯, ,官祿,太陰, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,病符
本命,甲,辰, ,僕役,貪狼, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,喜神
本命,乙,巳, ,遷移,巨門, , , , , , , , , , , , , , , , , , , , ,1, , , , , , , ,1, , , , , , , , , , , ,蜚廉
本命,丙,午, ,疾厄,廉貞, , , ,天相, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,奏書
本命,丁,未, ,財帛,天梁,祿, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,將軍
本命,戊,申, ,子女,七殺, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,小耗
本命,己,酉, ,夫妻,天同, , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,青龍
本命,庚,戌, ,兄弟,武曲,忌, , , , , , , , , , , , ,1, , , , ,1, , , , , , , , , , , , , , , , , , , , , ,力士
本命,辛,亥, ,命宮,太陽, , , , , , , ,1, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , ,博士
1限,壬,子,大父,父母,破軍, , , , , , , , , , ,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,官符
1限,癸,丑,大福,福德,天機, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,伏兵
1限,壬,寅,大田,田宅,紫微,權, , ,天府, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1,科, , , , , , ,大耗
