大限/流年,天干,地支,大限宮位,本命宮位,主星1,主星1本命四化,主星1大限四化,主星1流年四化,主星2,主星2本命四化,主星2大限四化,主星2流年四化,本命祿存,大限祿存,流年祿存,本命擎羊,大限擎羊,流年擎羊,本命陀羅,大限陀羅,流年陀羅,火星,鈴星,地空,地劫,本命紅鸞,流年紅鸞,本命天喜,流年天喜,文昌,文昌本命四化,文昌大限四化,文昌流年四化,文曲,文曲本命四化,文曲大限四化,文曲流年四化,左輔,左輔本命四化,左輔大限四化,左輔流年四化,右弼,右弼本命四化,右弼大限四化,右弼流年四化,boshi
本命,壬,子, ,遷移,太陽, , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , ,蜚廉
本命,癸,丑, ,疾厄,天府, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,喜神
本命,壬,寅, ,財帛,天機,科, , ,太陰,祿, , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,病符
本命,癸,卯, ,子女,紫微, , , ,貪狼, , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,大耗
本命,甲,辰, ,夫妻,巨門,忌, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,伏兵
本命,乙,巳, ,兄弟,天相, , , , , , , , , , , , , ,1, , , , , , , , , , ,1, , , , , , , , , , , , , , , ,官符
本命,丙,午, ,命宮,天梁, , , , , , , ,1, , , , , , , , , , ,1, , , ,1, , , , , , , , , , , , , , , , , ,博士
本命,丁,未, ,父母,廉貞, , , ,七殺, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,力士
本命,戊,申, ,福德, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,青龍
本命,己,酉, ,田宅, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , ,小耗
本命,庚,戌, ,官祿,天同,權, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,將軍
本命,辛,亥, ,僕役,武曲, , , ,破軍, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,奏書
1限,壬,子,大遷,遷移,太陽, , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , ,蜚廉
1限,癸,丑,大疾,疾厄,天府, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,喜神
1限,壬,寅,大財,財帛,天機,科,權, ,太陰,祿, , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,病符
1限,癸,卯,大子,子女,紫微, , , ,貪狼, , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,大耗
1限,甲,辰,大夫,夫妻,巨門,忌, , , , , , , , , , , , , ,1, , , , ,1, , , , , , , , , , , , , , , , , , , , ,伏兵
1限,乙,巳,大兄,兄弟,天相, , , , , , , , ,1, , , , ,1, , , , , , , , , , ,1, ,科, , , , , , , , , , , , , ,官符
1限,丙,午,大命,命宮,天梁, , , , , , , ,1, , , ,1, , , , , , ,1, , , ,1, , , , , , , , , , , , , , , , , ,博士
1限,丁,未,大父,父母,廉貞, ,忌, ,七殺, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,力士
1限,戊,申,大福,福德, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,青龍
1限,己,酉,大田,田宅, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , ,小耗
1限,庚,戌,大官,官祿,天同,權,祿, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,將軍
1限,辛,亥,大僕,僕役,武曲, , , ,破軍, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,奏書
1929,壬,子,大遷,遷移,太陽, , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , ,蜚廉
1929,癸,丑,大疾,疾厄,天府, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,喜神
1929,壬,寅,大財,財帛,天機,科,權, ,太陰,祿, , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,病符
1929,癸,卯,大子,子女,紫微, , , ,貪狼, , ,權, , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,大耗
1929,甲,辰,大夫,夫妻,巨門,忌, , , , , , , , , , , , , ,1, , , , ,1, , , ,1, , , , , , , , , , , , , , , , ,伏兵
1929,乙,巳,大兄,兄弟,天相, , , , , , , , ,1, , , , ,1, ,1, , , , , , , , ,1, ,科, , , , , , , , , , , , , ,官符
1929,丙,午,大命,命宮,天梁, , ,科, , , , ,1, ,1, ,1, , , , , , ,1, , , ,1, , , , , , , , , , , , , , , , , ,博士
1929,丁,未,大父,父母,廉貞, ,忌, ,七殺, , , , , , ,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,力士
1929,戊,申,大福,福德, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,青龍
1929,己,酉,大田,田宅, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , ,忌, , , , , , , , ,小耗
1929,庚,戌,大官,官祿,天同,權,祿, , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , ,將軍
1929,辛,亥,大僕,僕役,武曲, , ,祿,破軍, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,奏書
1930,壬,子,大遷,遷移,太陽, , ,祿, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , ,蜚廉
1930,癸,丑,大疾,疾厄,天府, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,喜神
1930,壬,寅,大財,財帛,天機,科,權, ,太陰,祿, , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,病符
1930,癸,卯,大子,子女,紫微, , , ,貪狼, , , , , , , , , , , , , ,1, , , , , ,1, , , , , , , , , , , , , , , , ,大耗
1930,甲,辰,大夫,夫妻,巨門,忌, , , , , , , , , , , , , ,1, , , , ,1, , , , , , , , , , , , , , , , , , , , ,伏兵
1930,乙,巳,大兄,兄弟,天相, , ,忌, , , , , ,1, , , , ,1, , , , , , , , , , ,1, ,科, , , , , , , , , , , , , ,官符
1930,丙,午,大命,命宮,天梁, , , , , , , ,1, , , ,1, , , , , , ,1, , , ,1, , , , , , , , , , , , , , , , , ,博士
1930,丁,未,大父,父母,廉貞, ,忌, ,七殺, , , , , , ,1, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,力士
1930,戊,申,大福,福德, , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,青龍
1930,己,酉,大田,田宅, , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , ,小耗
1930,庚,戌,大官,官祿,天同,權,祿,科, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,將軍
1930,辛,亥,大僕,僕役,武曲, , ,權,破軍, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,奏書
1931,壬,子,大遷,遷移,太陽, , ,權, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , ,蜚廉
1931,癸,丑,大疾,疾厄,天府, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,喜神
1931,壬,寅,大財,財帛,天機,科,權, ,太陰,祿, , , , , , , , , , , ,1, , , , , , ,1, , , , , , , , , , , , , , , , ,病符
1931,癸,卯,大子,子女,紫微, , , ,貪狼, , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,大耗
1931,甲,辰,大夫,夫妻,巨門,忌, ,祿, , , , , , , , , , , ,1, , , , ,1, , , , , , , , , , , , , , , , , , , , ,伏兵
1931,乙,巳,大兄,兄弟,天相, , , , , , , , ,1, , , , ,1, , , , , , , , , , ,1, ,科,忌, , , , , , , , , , , , ,官符
1931,丙,午,大命,命宮,天梁, , , , , , , ,1, , , ,1, , , , , , ,1, , , ,1, , , , , , , , , , , , , , , , , ,博士
