大限/流年,天干,地支,大限宮位,本命宮位,主星1,主星1本命四化,主星1大限四化,主星1流年四化,主星2,主星2本命四化,主星2大限四化,主星2流年四化,本命祿存,大限祿存,流年祿存,本命擎羊,大限擎羊,流年擎羊,本命陀羅,大限陀羅,流年陀羅,火星,鈴星,地空,地劫,本命紅鸞,流年紅鸞,本命天喜,流年天喜,文昌,文昌本命四化,文昌大限四化,文昌流年四化,文曲,文曲本命四化,文曲大限四化,文曲流年四化,左輔,左輔本命四化,左輔大限四化,左輔流年四化,右弼,右弼本命四化,右弼大限四化,右弼流年四化,boshi
本命,丙,子, ,命宮,天機, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,蜚廉
本命,丁,丑, ,父母,紫微, , , ,破軍, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,喜神
本命,丙,寅, ,福德, , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , ,病符
本命,丁,卯, ,田宅,天府, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,大耗
本命,戊,辰, ,官祿,太陰, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,伏兵
本命,己,巳, ,僕役,廉貞, , , ,貪狼,權, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,官符
本命,庚,午, ,遷移,巨門, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,1,忌, , , , , , , , , , ,博士
本命,辛,未, ,疾厄,天相, , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,力士
本命,壬,申, ,財帛,天同, , , ,天梁,科, , , , , , , , , , , , , , , ,1, , , ,1, , , , , , , , , , , , , , , ,青龍
本命,癸,酉, ,子女,武曲,祿, , ,七殺, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , ,小耗
本命,甲,戌, ,夫妻,太陽, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,將軍
本命,乙,亥, ,兄弟, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,奏書
1限,丙,子,大命,命宮,天機, ,權, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,蜚廉
1限,丁,丑,大父,父母,紫微, , , ,破軍, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,喜神
1限,丙,寅,大福,福德, , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , ,病符
1限,丁,卯,大田,田宅,天府, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,大耗
1限,戊,辰,大官,官祿,太陰, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,伏兵
1限,己,巳,大僕,僕役,廉貞, ,忌, ,貪狼,權, , , ,1, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,官符
1限,庚,午,大遷,遷移,巨門, , , , , , , ,1, , , ,1, , , , , , , , , , , , , , , , ,1,忌, , , , , , , , , , ,博士
1限,辛,未,大疾,疾厄,天相, , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,力士
1限,壬,申,大財,財帛,天同, ,祿, ,天梁,科, , , , , , , , , , , , , , , ,1, , , ,1, ,科, , , , , , , , , , , , , ,青龍
1限,癸,酉,大子,子女,武曲,祿, , ,七殺, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , ,小耗
1限,甲,戌,大夫,夫妻,太陽, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,將軍
1限,乙,亥,大兄,兄弟, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,奏書
1921,丙,子,大命,命宮,天機, ,權, , , , , , , , , , , , , , , ,1, , , , , ,1, , , , , , , , , , , , , , , , ,蜚廉
1921,丁,丑,大父,父母,紫微, , , ,破軍, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,喜神
1921,丙,寅,大福,福德, , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , ,病符
1921,丁,卯,大田,田宅,天府, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,大耗
1921,戊,辰,大官,官祿,太陰, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,伏兵
1921,己,巳,大僕,僕役,廉貞, ,忌, ,貪狼,權, , , ,1, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,官符
1921,庚,午,大遷,遷移,巨門, , ,祿, , , , ,1, , , ,1, , , , , , , , , ,1, , , , , , ,1,忌, ,科, , , , , , , , ,博士
1921,辛,未,大疾,疾厄,天相, , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,力士
1921,壬,申,大財,財帛,天同, ,祿, ,天梁,科, , , , , , , , , , ,1, , , , ,1, , , ,1, ,科,忌, , , , , , , , , , , , ,青龍
1921,癸,酉,大子,子女,武曲,祿, , ,七殺, , , , , ,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , ,小耗
1921,甲,戌,大夫,夫妻,太陽, , ,權, , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,將軍
1921,乙,亥,大兄,兄弟, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,奏書
1922,丙,子,大命,命宮,天機, ,權, , , , , , , , , , ,1, , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,蜚廉
1922,丁,丑,大父,父母,紫微, , ,權,破軍, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,喜神
1922,丙,寅,大福,福德, , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , ,病符
1922,丁,卯,大田,田宅,天府, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,大耗
1922,戊,辰,大官,官祿,太陰, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , ,1, , ,科, , , , ,伏兵
1922,己,巳,大僕,僕役,廉貞, ,忌, ,貪狼,權, , , ,1, , , , ,1, , , , , , , ,1, , , , , , , , , , , , , , , , , , ,官符
1922,庚,午,大遷,遷移,巨門, , , , , , , ,1, , , ,1, , , , , , , , , , , , , , , , ,1,忌, , , , , , , , , , ,博士
1922,辛,未,大疾,疾厄,天相, , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,力士
1922,壬,申,大財,財帛,天同, ,祿, ,天梁,科, ,祿, , , , , , , , , , , , , ,1, , , ,1, ,科, , , , , , , , , , , , , ,青龍
1922,癸,酉,大子,子女,武曲,祿, ,忌,七殺, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , ,小耗
1922,甲,戌,大夫,夫妻,太陽, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,將軍
1922,乙,亥,大兄,兄弟, , , , , , , , , , ,1, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,奏書
1923,丙,子,大命,命宮,天機, ,權, , , , , , , ,1, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,蜚廉
1923,丁,丑,大父,父母,紫微, , , ,破軍, , ,祿, , , , , ,1, , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,喜神
1923,丙,寅,大福,福德, , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , ,病符
1923,丁,卯,大田,田宅,天府, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,大耗
1923,戊,辰,大官,官祿,太陰, , ,科, , , , , , , , , , , ,1, , , , , , ,1, , , , , , , , , , , , , , , , , , ,伏兵
1923,己,巳,大僕,僕役,廉貞, ,忌, ,貪狼,權, ,忌, ,1, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,官符
