大限/流年,天干,地支,大限宮位,本命宮位,主星1,主星1本命四化,主星1大限四化,主星1流年四化,主星2,主星2本命四化,主星2大限四化,主星2流年四化,本命祿存,大限祿存,流年祿存,本命擎羊,大限擎羊,流年擎羊,本命陀羅,大限陀羅,流年陀羅,火星,鈴星,地空,地劫,本命紅鸞,流年紅鸞,本命天喜,流年天喜,文昌,文昌本命四化,文昌大限四化,文昌流年四化,文曲,文曲本命四化,文曲大限四化,文曲流年四化,左輔,左輔本命四化,左輔大限四化,左輔流年四化,右弼,右弼本命四化,右弼大限四化,右弼流年四化,boshi
本命,壬,子, ,僕役,破軍, , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,官符
本命,癸,丑, ,遷移,天機, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,伏兵
本命,壬,寅, ,疾厄,紫微,權, , ,天府, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,大耗
本命,癸,卯, ,財帛,太陰, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,病符
本命,甲,辰, ,子女,貪狼, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , ,喜神
本命,乙,巳, ,夫妻,巨門, , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , ,蜚廉
本命,丙,午, ,兄弟,廉貞, , , ,天相, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,奏書
本命,丁,未, ,命宮,天梁,祿, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,將軍
本命,戊,申, ,父母,七殺, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,小耗
本命,己,酉, ,福德,天同, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,科, , , , , , ,青龍
本命,庚,戌, ,田宅,武曲,忌, , , , , , , , , , , , ,1, , , ,1, , , , , , ,1, , , , , , , , , , , , , , , ,力士
本命,辛,亥, ,官祿,太陽, , , , , , , ,1, , , , , , , , , , ,1,1,1, , , , , , , , , , , , , , , , , , , ,博士
1限,壬,子,大僕,僕役,破軍, , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,官符
1限,癸,丑,大遷,遷移,天機, ,科, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,伏兵
1限,壬,寅,大疾,疾厄,紫微,權, , ,天府, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,大耗
1限,癸,卯,大財,財帛,太陰, ,祿, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,病符
1限,甲,辰,大子,子女,貪狼, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , ,喜神
1限,乙,巳,大夫,夫妻,巨門, ,忌, , , , , , , , , , , , ,1, , , , , , , ,1, , , , , , , , , , , , , , , , , ,蜚廉
1限,丙,午,大兄,兄弟,廉貞, , , ,天相, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,奏書
1限,丁,未,大命,命宮,天梁,祿, , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,將軍
1限,戊,申,大父,父母,七殺, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,小耗
1限,己,酉,大福,福德,天同, ,權, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,科, , , , , , ,青龍
1限,庚,戌,大田,田宅,武曲,忌, , , , , , , , , , , , ,1, , , ,1, , , , , , ,1, , , , , , , , , , , , , , , ,力士
1限,辛,亥,大官,官祿,太陽, , , , , , , ,1, , , , , , , , , , ,1,1,1, , , , , , , , , , , , , , , , , , , ,博士
1954,壬,子,大僕,僕役,破軍, , ,權, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,官符
1954,癸,丑,大遷,遷移,天機, ,科, , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,伏兵
1954,壬,寅,大疾,疾厄,紫微,權, , ,天府, , , , , ,1, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,大耗
1954,癸,卯,大財,財帛,太陰, ,祿, , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,病符
1954,甲,辰,大子,子女,貪狼, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , ,喜神
1954,乙,巳,大夫,夫妻,巨門, ,忌, , , , , , , , , , , , ,1, , , , , , , ,1, , , , , , , , , , , , , , , , , ,蜚廉
1954,丙,午,大兄,兄弟,廉貞, , ,祿,天相, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,奏書
1954,丁,未,大命,命宮,天梁,祿, , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,將軍
1954,戊,申,大父,父母,七殺, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,小耗
1954,己,酉,大福,福德,天同, ,權, , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , ,1,科, , , , , , ,青龍
