大限/流年,天干,地支,大限宮位,本命宮位,主星1,主星1本命四化,主星1大限四化,主星1流年四化,主星2,主星2本命四化,主星2大限四化,主星2流年四化,本命祿存,大限祿存,流年祿存,本命擎羊,大限擎羊,流年擎羊,本命陀羅,大限陀羅,流年陀羅,火星,鈴星,地空,地劫,本命紅鸞,流年紅鸞,本命天喜,流年天喜,文昌,文昌本命四化,文昌大限四化,文昌流年四化,文曲,文曲本命四化,文曲大限四化,文曲流年四化,左輔,左輔本命四化,左輔大限四化,左輔流年四化,右弼,右弼本命四化,右弼大限四化,右弼流年四化,boshi
本命,戊,子, ,田宅,天機,祿, , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,大耗
本命,己,丑, ,官祿,紫微,科, , ,破軍, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,伏兵
本命,戊,寅, ,僕役, , , , , , , , , , , , , , ,1, , , , , , ,1, , , , , , , , , , , , , , , , , , , ,官符
本命,己,卯, ,遷移,天府, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,博士
本命,庚,辰, ,疾厄,太陰,忌, , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,力士
本命,辛,巳, ,財帛,廉貞, , , ,貪狼, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,青龍
本命,壬,午, ,子女,巨門, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , ,小耗
本命,癸,未, ,夫妻,天相, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,將軍
本命,甲,申, ,兄弟,天同, , , ,天梁,權, , , , , , , , , , , , , , , , , ,1, ,1, , , , , , , , , , , , , , , ,奏書
本命,乙,酉, ,命宮,武曲, , , ,七殺, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , ,蜚廉
本命,丙,戌, ,父母,太陽, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,喜神
本命,丁,亥, ,福德, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,病符
1限,戊,子,大田,田宅,天機,祿,祿, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,大耗
1限,己,丑,大官,官祿,紫微,科,科, ,破軍, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,伏兵
1限,戊,寅,大僕,僕役, , , , , , , , , , , , , , ,1,1, , , , , ,1, , , , , , , , , , , , , , , , , , , ,官符
1限,己,卯,大遷,遷移,天府, , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,博士
1限,庚,辰,大疾,疾厄,太陰,忌,忌, , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,力士
1限,辛,巳,大財,財帛,廉貞, , , ,貪狼, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,青龍
1限,壬,午,大子,子女,巨門, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , ,小耗
1限,癸,未,大夫,夫妻,天相, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,將軍
1限,甲,申,大兄,兄弟,天同, , , ,天梁,權,權, , , , , , , , , , , , , , , , ,1, ,1, , , , , , , , , , , , , , , ,奏書
1限,乙,酉,大命,命宮,武曲, , , ,七殺, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , ,蜚廉
1限,丙,戌,大父,父母,太陽, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,喜神
1限,丁,亥,大福,福德, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,病符
1987,戊,子,大田,田宅,天機,祿,祿,科, , , , , , , , , , , , , , ,1, , , ,1, , , , , , , , , , , , , , , , , , ,大耗
1987,己,丑,大官,官祿,紫微,科,科, ,破軍, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,伏兵
