大限/流年,天干,地支,大限宮位,本命宮位,主星1,主星1本命四化,主星1大限四化,主星1流年四化,主星2,主星2本命四化,主星2大限四化,主星2流年四化,本命祿存,大限祿存,流年祿存,本命擎羊,大限擎羊,流年擎羊,本命陀羅,大限陀羅,流年陀羅,火星,鈴星,地空,地劫,本命紅鸞,流年紅鸞,本命天喜,流年天喜,文昌,文昌本命四化,文昌大限四化,文昌流年四化,文曲,文曲本命四化,文曲大限四化,文曲流年四化,左輔,左輔本命四化,左輔大限四化,左輔流年四化,右弼,右弼本命四化,右弼大限四化,右弼流年四化,boshi
1987,戊,寅,大僕,僕役, , , , , , , , , , , , , , ,1,1, , , , , ,1, , , , , , , , , , , , , , , , , , , ,官符
1987,己,卯,大遷,遷移,天府, , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,博士
1987,庚,辰,大疾,疾厄,太陰,忌,忌,祿, , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,力士
1987,辛,巳,大財,財帛,廉貞, , , ,貪狼, , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , ,青龍
1987,壬,午,大子,子女,巨門, , ,忌, , , , , , ,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , ,小耗
1987,癸,未,大夫,夫妻,天相, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,將軍
1987,甲,申,大兄,兄弟,天同, , ,權,天梁,權,權, , , , , , , , , , , , , , , , ,1, ,1, , , , , , , , , , , , , , , ,奏書
1987,乙,酉,大命,命宮,武曲, , , ,七殺, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , ,蜚廉
1987,丙,戌,大父,父母,太陽, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,喜神
1987,丁,亥,大福,福德, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,病符
1988,戊,子,大田,田宅,天機,祿,祿,忌, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,大耗
1988,己,丑,大官,官祿,紫微,科,科, ,破軍, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , ,1, , ,科,伏兵
1988,戊,寅,大僕,僕役, , , , , , , , , , , , , , ,1,1, , , , , ,1, , , , , , , , , , , , , , , , , , , ,官符
1988,己,卯,大遷,遷移,天府, , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,博士
1988,庚,辰,大疾,疾厄,太陰,忌,忌,權, , , , , , , ,1,1, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,力士
1988,辛,巳,大財,財帛,廉貞, , , ,貪狼, , ,祿, , ,1, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,青龍
1988,壬,午,大子,子女,巨門, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , ,小耗
1988,癸,未,大夫,夫妻,天相, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,將軍
1988,甲,申,大兄,兄弟,天同, , , ,天梁,權,權, , , , , , , , , , , , , , , , ,1, ,1, , , , , , , , , , , , , , , ,奏書
1988,乙,酉,大命,命宮,武曲, , , ,七殺, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , ,蜚廉
1988,丙,戌,大父,父母,太陽, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,喜神
1988,丁,亥,大福,福德, , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , ,病符
1989,戊,子,大田,田宅,天機,祿,祿, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,大耗
1989,己,丑,大官,官祿,紫微,科,科, ,破軍, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,伏兵
1989,戊,寅,大僕,僕役, , , , , , , , , , , , , , ,1,1, , , , , ,1, , , , , , , , , , , , , , , , , , , ,官符
1989,己,卯,大遷,遷移,天府, , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,博士
1989,庚,辰,大疾,疾厄,太陰,忌,忌, , , , , , , , ,1,1, , , , , , , , , , , ,1, , , , , , , , , , , , , , , , ,力士
1989,辛,巳,大財,財帛,廉貞, , , ,貪狼, , ,權, , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , ,青龍
1989,壬,午,大子,子女,巨門, , , , , , , , , ,1, , , , , , , , , , , , , , , , , , ,1, , ,忌, , , , , , , , ,小耗
1989,癸,未,大夫,夫妻,天相, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,將軍
1989,甲,申,大兄,兄弟,天同, , , ,天梁,權,權,科, , , , , , , , , , , , , , , ,1, ,1, , , , , , , , , , , , , , , ,奏書
1989,乙,酉,大命,命宮,武曲, , ,祿,七殺, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , ,蜚廉
1989,丙,戌,大父,父母,太陽, , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , ,喜神
1989,丁,亥,大福,福德, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,病符
1990,戊,子,大田,田宅,天機,祿,祿, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,大耗
1990,己,丑,大官,官祿,紫微,科,科, ,破軍, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,伏兵
1990,戊,寅,大僕,僕役, , , , , , , , , , , , , , ,1,1, , , , , ,1, , , , , , , , , , , , , , , , , , , ,官符
1990,己,卯,大遷,遷移,天府, , , , , , , ,1,1, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , ,博士
1990,庚,辰,大疾,疾厄,太陰,忌,忌, , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,力士
1990,辛,巳,大財,財帛,廉貞, , , ,貪狼, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,青龍
1990,壬,午,大子,子女,巨門, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , ,小耗
1990,癸,未,大夫,夫妻,天相, , ,忌, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,將軍
1990,甲,申,大兄,兄弟,天同, , ,科,天梁,權,權, , , ,1, , , , , , , , , , , , ,1, ,1, , , , , , , , , , , , , , , ,奏書
1990,乙,酉,大命,命宮,武曲, , ,權,七殺, , , , , , , , ,1, , , , , ,1, , , , , , , , , , , , , , , , , , , , , ,蜚廉
1990,丙,戌,大父,父母,太陽, , ,祿, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,喜神
1990,丁,亥,大福,福德, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,病符
1991,戊,子,大田,田宅,天機,祿,祿, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,大耗
1991,己,丑,大官,官祿,紫微,科,科, ,破軍, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,伏兵
1991,戊,寅,大僕,僕役, , , , , , , , , , , , , , ,1,1, , , , , ,1, , ,1, , , , , , , , , , , , , , , , ,官符
1991,己,卯,大遷,遷移,天府, , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,博士
1991,庚,辰,大疾,疾厄,太陰,忌,忌, , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,力士
1991,辛,巳,大財,財帛,廉貞, , , ,貪狼, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,青龍
1991,壬,午,大子,子女,巨門, , ,祿, , , , , , , , , , , , , , , , , , , , , , , , , ,1, , ,科, , , , , , , , ,小耗
1991,癸,未,大夫,夫妻,天相, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,將軍
1991,甲,申,大兄,兄弟,天同, , , ,天梁,權,權, , , , , , , , , ,1, , , , , , ,1, ,1, , ,忌, , , , , , , , , , , , ,奏書
1991,乙,酉,大命,命宮,武曲, , , ,七殺, , , , , ,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , ,蜚廉
1991,丙,戌,大父,父母,太陽, , ,權, , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,喜神
1991,丁,亥,大福,福德, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,病符
1992,戊,子,大田,田宅,天機,祿,祿, , , , , , , , , , ,1, , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,大耗
1992,己,丑,大官,官祿,紫微,科,科,權,破軍, , , , , , , , , , , , , , , ,1, , , ,1, , , , , , , , ,1, , ,科, , , , ,伏兵
1992,戊,寅,大僕,僕役, , , , , , , , , , , , , , ,1,1, , , , , ,1, , , , , , , , , , , , , , , , , , , ,官符
1992,己,卯,大遷,遷移,天府, , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,博士
1992,庚,辰,大疾,疾厄,太陰,忌,忌, , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,力士
1992,辛,巳,大財,財帛,廉貞, , , ,貪狼, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,青龍
1992,壬,午,大子,子女,巨門, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , ,小耗
1992,癸,未,大夫,夫妻,天相, , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , ,將軍
1992,甲,申,大兄,兄弟,天同, , , ,天梁,權,權,祿, , , , , , , , , , , , , , , ,1, ,1, , , , , , , , , , , , , , , ,奏書
1992,乙,酉,大命,命宮,武曲, , ,忌,七殺, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , ,蜚廉
1992,丙,戌,大父,父母,太陽, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,喜神
1992,丁,亥,大福,福德, , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,病符
1993,戊,子,大田,田宅,天機,祿,祿, , , , , , , ,1, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,大耗
1993,己,丑,大官,官祿,紫微,科,科, ,破軍, , ,祿, , , , , ,1, , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,伏兵
1993,戊,寅,大僕,僕役, , , , , , , , , , , , , , ,1,1, , , , , ,1, , , , , , , , , , , , , , , , , , , ,官符
1993,己,卯,大遷,遷移,天府, , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,博士
1993,庚,辰,大疾,疾厄,太陰,忌,忌,科, , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,力士
1993,辛,巳,大財,財帛,廉貞, , , ,貪狼, , ,忌, , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,青龍
1993,壬,午,大子,子女,巨門, , ,權, , , , , , , , , , , , , , , , , , ,1, , , , , , ,1, , , , , , , , , , , ,小耗
1993,癸,未,大夫,夫妻,天相, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,將軍
1993,甲,申,大兄,兄弟,天同, , , ,天梁,權,權, , , , , , , , , , , , , , , , ,1, ,1, , , , , , , , , , , , , , , ,奏書
1993,乙,酉,大命,命宮,武曲, , , ,七殺, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , ,蜚廉
1993,丙,戌,大父,父母,太陽, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,喜神
1993,丁,亥,大福,福德, , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,病符
1994,戊,子,大田,田宅,天機,祿,祿, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,大耗
1994,己,丑,大官,官祿,紫微,科,科, ,破軍, , ,權, , , , , , , , ,1, , , ,1, , , , , , , , , , , , , , , , , , , , ,伏兵
1994,戊,寅,大僕,僕役, , , , , , , , , , ,1, , , ,1,1, , , , , ,1, , , , , , , , , , , , , , , , , , , ,官符
1994,己,卯,大遷,遷移,天府, , , , , , , ,1,1, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,博士
1994,庚,辰,大疾,疾厄,太陰,忌,忌, , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,力士
1994,辛,巳,大財,財帛,廉貞, , ,祿,貪狼, , , , , , , , , , , , ,1, , , , ,1, , , , , , , , , , , , , , , , , , ,青龍
1994,壬,午,大子,子女,巨門, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , ,小耗
1994,癸,未,大夫,夫妻,天相, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,將軍
1994,甲,申,大兄,兄弟,天同, , , ,天梁,權,權, , , , , , , , , , , , , , , , ,1, ,1, , , , , , , , , , , , , , , ,奏書
1994,乙,酉,大命,命宮,武曲, , ,科,七殺, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , ,蜚廉
1994,丙,戌,大父,父母,太陽, , ,忌, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,喜神
1994,丁,亥,大福,福德, , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , ,病符
1995,戊,子,大田,田宅,天機,祿,祿,祿, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,大耗
1995,己,丑,大官,官祿,紫微,科,科,科,破軍, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,伏兵
1995,戊,寅,大僕,僕役, , , , , , , , , , , , , , ,1,1,1, , , , ,1, , , , , , , , , , , , , , , , , , , ,官符
1995,己,卯,大遷,遷移,天府, , , , , , , ,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,博士
1995,庚,辰,大疾,疾厄,太陰,忌,忌,忌, , , , , , , ,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,力士
1995,辛,巳,大財,財帛,廉貞, , , ,貪狼, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,青龍
1995,壬,午,大子,子女,巨門, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , ,小耗
1995,癸,未,大夫,夫妻,天相, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,將軍
1995,甲,申,大兄,兄弟,天同, , , ,天梁,權,權,權, , , , , , , , , , , , , , , ,1, ,1, , , , , , , , , , , , , , , ,奏書
1995,乙,酉,大命,命宮,武曲, , , ,七殺, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , ,蜚廉
1995,丙,戌,大父,父母,太陽, , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , ,喜神
1995,丁,亥,大福,福德, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,病符
1996,戊,子,大田,田宅,天機,祿,祿,權, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,大耗
1996,己,丑,大官,官祿,紫微,科,科, ,破軍, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,伏兵
1996,戊,寅,大僕,僕役, , , , , , , , , , , , , , ,1,1, , , , , ,1, , , , , , , , , , , , , , , , , , , ,官符
1996,己,卯,大遷,遷移,天府, , , , , , , ,1,1, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , ,博士
1996,庚,辰,大疾,疾厄,太陰,忌,忌, , , , , , , , ,1,1, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,力士
1996,辛,巳,大財,財帛,廉貞, , ,忌,貪狼, , , , , ,1, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,青龍
1996,壬,午,大子,子女,巨門, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , ,小耗
1996,癸,未,大夫,夫妻,天相, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,將軍
1996,甲,申,大兄,兄弟,天同, , ,祿,天梁,權,權, , , , , , , , , , , , , , , , ,1, ,1, , ,科, , , , , , , , , , , , ,奏書
1996,乙,酉,大命,命宮,武曲, , , ,七殺, , , , , , , , , , , , , , ,1, , , , ,1, , , , , , , , , , , , , , , , ,蜚廉
1996,丙,戌,大父,父母,太陽, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,喜神
1996,丁,亥,大福,福德, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,病符
2限,戊,子,大福,田宅,天機,祿,權, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,大耗
2限,己,丑,大田,官祿,紫微,科, , ,破軍, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,伏兵
2限,戊,寅,大官,僕役, , , , , , , , , , , , , , ,1, , , , , , ,1, , , , , , , , , , , , , , , , , , , ,官符
2限,己,卯,大僕,遷移,天府, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,博士
2限,庚,辰,大遷,疾厄,太陰,忌, , , , , , , , , ,1, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,力士
2限,辛,巳,大疾,財帛,廉貞, ,忌, ,貪狼, , , , ,1, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,青龍
2限,壬,午,大財,子女,巨門, , , , , , , , , , , ,1, , , , , , , , , , , , , , , , ,1, , , , , , , , , , , ,小耗
2限,癸,未,大子,夫妻,天相, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,將軍
2限,甲,申,大夫,兄弟,天同, ,祿, ,天梁,權, , , , , , , , , , , , , , , , , ,1, ,1, ,科, , , , , , , , , , , , , ,奏書
2限,乙,酉,大兄,命宮,武曲, , , ,七殺, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , ,蜚廉
2限,丙,戌,大命,父母,太陽, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,喜神
2限,丁,亥,大父,福德, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,病符
1997,戊,子,大福,田宅,天機,祿,權,科, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,大耗
1997,己,丑,大田,官祿,紫微,科, , ,破軍, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,伏兵
1997,戊,寅,大官,僕役, , , , , , , , , , , , , , ,1, , , , , , ,1,1, , , , , , , , , , , , , , , , , , ,官符
1997,己,卯,大僕,遷移,天府, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,博士
1997,庚,辰,大遷,疾厄,太陰,忌, ,祿, , , , , , , ,1, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,力士
1997,辛,巳,大疾,財帛,廉貞, ,忌, ,貪狼, , , , ,1, , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , ,青龍
1997,壬,午,大財,子女,巨門, , ,忌, , , , , , ,1, ,1, , , , , , , , , , , , , , , , ,1, , , , , , , , , , , ,小耗
1997,癸,未,大子,夫妻,天相, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,將軍
1997,甲,申,大夫,兄弟,天同, ,祿,權,天梁,權, , , , , , , , , , , , , , , , , ,1,1,1, ,科, , , , , , , , , , , , , ,奏書
1997,乙,酉,大兄,命宮,武曲, , , ,七殺, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , ,蜚廉
1997,丙,戌,大命,父母,太陽, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,喜神
1997,丁,亥,大父,福德, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,病符
1998,戊,子,大福,田宅,天機,祿,權,忌, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,大耗
1998,己,丑,大田,官祿,紫微,科, , ,破軍, , , , , , , , , , , , , , , ,1, ,1, , , , , , , , , , , , , , ,1, , ,科,伏兵
1998,戊,寅,大官,僕役, , , , , , , , , , , , , , ,1, , , , , , ,1, , , , , , , , , , , , , , , , , , , ,官符
1998,己,卯,大僕,遷移,天府, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,博士
1998,庚,辰,大遷,疾厄,太陰,忌, ,權, , , , , , , ,1, , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , ,力士
1998,辛,巳,大疾,財帛,廉貞, ,忌, ,貪狼, , ,祿, ,1,1, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,青龍
1998,壬,午,大財,子女,巨門, , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , ,小耗
1998,癸,未,大子,夫妻,天相, , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , ,將軍
1998,甲,申,大夫,兄弟,天同, ,祿, ,天梁,權, , , , , , , , , , , , , , , , , ,1, ,1, ,科, , , , , , , , , , , , , ,奏書
1998,乙,酉,大兄,命宮,武曲, , , ,七殺, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , ,蜚廉
1998,丙,戌,大命,父母,太陽, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,喜神
1998,丁,亥,大父,福德, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,病符
1999,戊,子,大福,田宅,天機,祿,權, , , , , , , , , , , , , , , ,1, , , ,1, , , , , , , , , , , , , , , , , , ,大耗
1999,己,丑,大田,官祿,紫微,科, , ,破軍, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,伏兵
1999,戊,寅,大官,僕役, , , , , , , , , , , , , , ,1, , , , , , ,1, , , , , , , , , , , , , , , , , , , ,官符
1999,己,卯,大僕,遷移,天府, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,博士
1999,庚,辰,大遷,疾厄,太陰,忌, , , , , , , , , ,1, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,力士
1999,辛,巳,大疾,財帛,廉貞, ,忌, ,貪狼, , ,權, ,1, , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , ,青龍
1999,壬,午,大財,子女,巨門, , , , , , , , , ,1, ,1, , , , , , , , , , , , , , , , ,1, , ,忌, , , , , , , , ,小耗
1999,癸,未,大子,夫妻,天相, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,將軍
1999,甲,申,大夫,兄弟,天同, ,祿, ,天梁,權, ,科, , , , , , , , , , , , , , , ,1, ,1, ,科, , , , , , , , , , , , , ,奏書
1999,乙,酉,大兄,命宮,武曲, , ,祿,七殺, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , ,蜚廉
1999,丙,戌,大命,父母,太陽, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,喜神
1999,丁,亥,大父,福德, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,病符
