大限/流年,天干,地支,大限宮位,本命宮位,主星1,主星1本命四化,主星1大限四化,主星1流年四化,主星2,主星2本命四化,主星2大限四化,主星2流年四化,本命祿存,大限祿存,流年祿存,本命擎羊,大限擎羊,流年擎羊,本命陀羅,大限陀羅,流年陀羅,火星,鈴星,地空,地劫,本命紅鸞,流年紅鸞,本命天喜,流年天喜,文昌,文昌本命四化,文昌大限四化,文昌流年四化,文曲,文曲本命四化,文曲大限四化,文曲流年四化,左輔,左輔本命四化,左輔大限四化,左輔流年四化,右弼,右弼本命四化,右弼大限四化,右弼流年四化,boshi
本命,庚,子, ,父母,七殺, , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,小耗
本命,辛,丑, ,福德, , , , , , , , , , , , , , , , , , , , , , , , , ,1,忌, , ,1,忌, , , , , , , , , , ,將軍
本命,庚,寅, ,田宅,廉貞, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , ,奏書
本命,辛,卯, ,官祿, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,蜚廉
本命,壬,辰, ,僕役,破軍, , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , ,喜神
本命,癸,巳, ,遷移,天同, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,病符
本命,甲,午, ,疾厄,武曲, , , ,天府, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,大耗
本命,乙,未, ,財帛,太陽,權, , ,太陰, , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,伏兵
本命,丙,申, ,子女,貪狼, , , , , , , , , , , , , ,1, , , , , ,1, , , , , , , , , , , , , , , , , , , , ,官符
本命,丁,酉, ,夫妻,天機, , , ,巨門,祿, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,博士
本命,戊,戌, ,兄弟,紫微, , , ,天相, , , , , , ,1, , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , ,力士
本命,己,亥, ,命宮,天梁, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,青龍
1限,庚,子,大父,父母,七殺, , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,小耗
1限,辛,丑,大福,福德, , , , , , , , , , , , , , , , , , , , , , , , , ,1,忌,忌, ,1,忌,忌, , , , , , , , , ,將軍
1限,庚,寅,大田,田宅,廉貞, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , ,奏書
1限,辛,卯,大官,官祿, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,蜚廉
1限,壬,辰,大僕,僕役,破軍, , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , ,喜神
1限,癸,巳,大遷,遷移,天同, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,病符
1限,甲,午,大疾,疾厄,武曲, ,祿, ,天府, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,大耗
1限,乙,未,大財,財帛,太陽,權, , ,太陰, , , , , , , ,1, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,伏兵
1限,丙,申,大子,子女,貪狼, ,權, , , , , , , , , , , ,1, , , , , ,1, , , , , , , , , , , , , , , , , , , , ,官符
1限,丁,酉,大夫,夫妻,天機, , , ,巨門,祿, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,博士
1限,戊,戌,大兄,兄弟,紫微, , , ,天相, , , , , , ,1, , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , ,力士
1限,己,亥,大命,命宮,天梁, ,科, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,青龍
1944,庚,子,大父,父母,七殺, , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , ,小耗
1944,辛,丑,大福,福德, , , , , , , , , , , , , , , , ,1, , , , , , , , ,1,忌,忌, ,1,忌,忌, , , , , , , , , ,將軍
